Model,AUC,CI_low,CI_high
SVM,0.8444783573806881,0.7916511281018465,0.895533079374379
Random Forest Optimized,0.8442008879023308,0.7841784996063076,0.8992269457741635
Random Forest,0.8423973362930077,0.7804755736912447,0.8988533688719377
Voting Soft,0.8417036625971144,0.783670949861426,0.8972084944289467
XGBoost Optimized,0.8397613762486126,0.7796953256543703,0.8957125603864734
XGBoost,0.8349056603773585,0.7760649214461895,0.8925749273728867
LightGBM Optimized,0.8344894561598224,0.7753561942729768,0.8896350301006102
Logistic Regression,0.8322697003329633,0.7703595975549121,0.8896953097116577
Stacking,0.8317147613762487,0.7702099193595943,0.8918549029680964
LightGBM,0.8314372918978912,0.7690336625252204,0.8880033316016089
AdaBoost,0.8301886792452831,0.7658053788705386,0.8894866914024008
Extra Trees,0.8282463928967814,0.7652177041960447,0.8874907672620705
Neural Network,0.8232519422863485,0.7629639135055034,0.8803599586574554
Naive Bayes,0.8204772475027746,0.7521425421138968,0.8815839747330568
KNN,0.7849611542730299,0.7118141489475863,0.8547590536347518
Decision Tree,0.6858351831298556,0.6096401334315543,0.7661984965382377
