,AUC,Accuracy,F1-Score,Sensitivity,Specificity,Precision,Recall,PPV,NPV,MCC,Kappa,Brier Score,AP,Youden Index,CV_AUC_mean,CV_AUC_std,TP,TN,FP,FN
SVM,0.8445,0.7831,0.6555,0.7358,0.8015,0.5909,0.7358,0.5909,0.8862,0.5063,0.4999,0.1524,0.638,0.5373,0.8908,0.0253,39.0,109.0,27.0,14.0
Random Forest Optimized,0.8442,0.8201,0.6731,0.6604,0.8824,0.6863,0.6604,0.6863,0.8696,0.5492,0.5491,0.1408,0.6499,0.5427,0.9293,0.0139,35.0,120.0,16.0,18.0
Random Forest,0.8424,0.8201,0.6852,0.6981,0.8676,0.6727,0.6981,0.6727,0.8806,0.5595,0.5593,0.1429,0.6309,0.5658,0.9256,0.0156,37.0,118.0,18.0,16.0
Voting Soft,0.8417,0.7989,0.6667,0.717,0.8309,0.623,0.717,0.623,0.8828,0.5264,0.5237,0.1481,0.6347,0.5479,0.9215,0.0146,38.0,113.0,23.0,15.0
XGBoost Optimized,0.8398,0.7778,0.6613,0.7736,0.7794,0.5775,0.7736,0.5775,0.8983,0.5129,0.5011,0.1773,0.6463,0.553,0.9261,0.015,41.0,106.0,30.0,12.0
XGBoost,0.8349,0.7513,0.6357,0.7736,0.7426,0.5395,0.7736,0.5395,0.8938,0.4729,0.4559,0.1897,0.6519,0.5162,0.9068,0.0175,41.0,101.0,35.0,12.0
LightGBM Optimized,0.8345,0.7831,0.6306,0.6604,0.8309,0.6034,0.6604,0.6034,0.8626,0.4785,0.4775,0.1725,0.6298,0.4913,0.9229,0.0166,35.0,113.0,23.0,18.0
Logistic Regression,0.8323,0.7778,0.6557,0.7547,0.7868,0.5797,0.7547,0.5797,0.8917,0.5052,0.4958,0.1609,0.6575,0.5415,0.8412,0.0326,40.0,107.0,29.0,13.0
Stacking,0.8317,0.8095,0.6471,0.6226,0.8824,0.6735,0.6226,0.6735,0.8571,0.5176,0.5169,0.1447,0.6147,0.505,0.9358,0.0093,33.0,120.0,16.0,20.0
LightGBM,0.8314,0.8095,0.6727,0.6981,0.8529,0.6491,0.6981,0.6491,0.8788,0.5394,0.5386,0.1605,0.6408,0.5511,0.9056,0.0124,37.0,116.0,20.0,16.0
AdaBoost,0.8302,0.7725,0.6667,0.8113,0.7574,0.5658,0.8113,0.5658,0.9115,0.521,0.5022,0.1686,0.6326,0.5687,0.8508,0.0275,43.0,103.0,33.0,10.0
Extra Trees,0.8282,0.8095,0.6727,0.6981,0.8529,0.6491,0.6981,0.6491,0.8788,0.5394,0.5386,0.153,0.6148,0.5511,0.9147,0.0199,37.0,116.0,20.0,16.0
Neural Network,0.8233,0.7619,0.6018,0.6415,0.8088,0.5667,0.6415,0.5667,0.8527,0.4346,0.4329,0.1624,0.615,0.4503,0.8397,0.0501,34.0,110.0,26.0,19.0
Naive Bayes,0.8205,0.7989,0.6667,0.717,0.8309,0.623,0.717,0.623,0.8828,0.5264,0.5237,0.1771,0.6249,0.5479,0.8174,0.0193,38.0,113.0,23.0,15.0
KNN,0.785,0.6984,0.544,0.6415,0.7206,0.4722,0.6415,0.4722,0.8376,0.3349,0.3264,0.192,0.6232,0.3621,0.9037,0.0048,34.0,98.0,38.0,19.0
Decision Tree,0.6858,0.7407,0.5333,0.5283,0.8235,0.5385,0.5283,0.5385,0.8175,0.3539,0.3539,0.2417,0.4276,0.3518,0.7818,0.0253,28.0,112.0,24.0,25.0
